workerID, gender, nativeLanguage, income, age, domain, inferredPrice0, inferredPrice1, inferredPrice2, inferredPrice3, inferredPrice4, inferredPrice5, inferredPrice6, inferredPrice6, inferredPrice7, inferredPrice8, inferredPrice9, order, buyer, 
A1KN3TP3P2NJHC, F, English, 4, 65, laptop, 0, 0, 1, 1, 1, 1, 0.45, 0.45, 0, 0, 1, Alex, 
A1KN3TP3P2NJHC, F, English, 4, 65, watch, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, Bob, 
A1KN3TP3P2NJHC, F, English, 4, 65, electric kettle, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, Calvin, 
A3DZ46U9XRLVBI, F, english, 8, 35, watch, 0.975, 0.8, 0.325, 0.325, 0.25, 0.25, 0.1, 0.125, 0.075, 0.075, 1, Calvin, 
A3DZ46U9XRLVBI, F, english, 8, 35, electric kettle, 0.975, 1, 0.05, 0.05, 0, 0, 0, 0, 0, 0, 2, Alex, 
A3DZ46U9XRLVBI, F, english, 8, 35, laptop, 0, 0, 0.7, 0.7, 0.8, 0.8, 0, 0, 0, 0, 3, Bob, 
A3AJR1PM02424Y, F, English, 4, 35, watch, 1, 1, 0.75, 0.75, 0.575, 0.575, 0.3, 0.3, 0.225, 0.225, 1, Calvin, 
A3AJR1PM02424Y, F, English, 4, 35, electric kettle, 1, 1, 0.25, 0.25, 0.125, 0.15, 0.05, 0.05, 0, 0, 2, Alex, 
A3AJR1PM02424Y, F, English, 4, 35, laptop, 0.1, 0.1, 0.625, 0.6, 0.75, 0.75, 0.75, 0.775, 0.15, 0.175, 3, Bob, 
A1XAOEDK0Y2KBT, M, English, 8, 45, laptop, 0, 0, 0.275, 0.275, 0.975, 0.725, 0.275, 0.275, 0.025, 0.05, 1, Calvin, 
A1XAOEDK0Y2KBT, M, English, 8, 45, watch, 0.975, 0.95, 0.775, 0.75, 0.5, 0.5, 0.25, 0.225, 0.225, 0.2, 2, Alex, 
A1XAOEDK0Y2KBT, M, English, 8, 45, electric kettle, 1, 0.975, 0.25, 0.275, 0.025, 0.025, 0, 0.025, 0.025, 0, 3, Bob, 
A195WB6MMIHUL7, F, english, 6, 17, watch, 0.675, 0.75, 0.5, 0.425, 0.175, 0.125, 0.1, 0.125, 0, 0, 1, Bob, 
A195WB6MMIHUL7, F, english, 6, 17, electric kettle, 1, 1, 0.15, 0.125, 0, 0, 0, 0, 0, 0, 2, Calvin, 
A195WB6MMIHUL7, F, english, 6, 17, laptop, 0, 0, 1, 1, 1, 0.25, 0.05, 0.05, 0, 0, 3, Alex, 
A14PFRHG0A2YY9, M, english, 4, 55, watch, 1, 1, 0.3, 0.3, 0.3, 0.3, 0.15, 0.15, 0.025, 0.025, 1, Calvin, 
A14PFRHG0A2YY9, M, english, 4, 55, electric kettle, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, Alex, 
A14PFRHG0A2YY9, M, english, 4, 55, laptop, 0.125, 0.125, 0.875, 0.875, 0.875, 0.875, 0, 0, 0, 0, 3, Bob, 
A26QHAE41IXQNX, F, English, 6, 35, laptop, 0, 0, 0.725, 0.675, 0.9, 0.95, 0.225, 0.25, 0, 0, 1, Alex, 
A26QHAE41IXQNX, F, English, 6, 35, watch, 0.975, 1, 1, 1, 1, 1, 0.75, 0.75, 0.175, 0.2, 2, Bob, 
A26QHAE41IXQNX, F, English, 6, 35, electric kettle, 0.975, 0.95, 0, 0, 0, 0, 0, 0, 0, 0, 3, Calvin, 
A2V0ADROWMC2ZM, F, English, 6, 65, watch, 0.725, 0.75, 0.225, 0.25, 0.125, 0.15, 0.025, 0.025, 0.025, 0, 1, Bob, 
A2V0ADROWMC2ZM, F, English, 6, 65, electric kettle, 0.975, 0.975, 0, 0.025, 0.025, 0, 0, 0.025, 0.025, 0, 2, Calvin, 
