workerID, gender, nativeLanguage, income, age, sentenceID, domain, utteredPrice, utteredPriceRounded, utteredType, actualPrice, actualPriceRounded, actualType, probOpinion, order, buyer, 
A3N87BX6PS0SIB, F, English, 6, 35, 4, electric kettle, 5000, 5000, round, 5000, 5000, round, -0.614363711007, 1, Frank, 
A3N87BX6PS0SIB, F, English, 6, 35, 1, electric kettle, 50, 50, round, 50, 50, round, 1.51227990402, 2, Eric, 
A3N87BX6PS0SIB, F, English, 6, 35, 2, electric kettle, 500, 500, round, 500, 500, round, -0.614363711007, 3, Alex, 
A3N87BX6PS0SIB, F, English, 6, 35, 5, electric kettle, 10000, 10000, round, 10000, 10000, round, -0.189034988002, 4, Calvin, 
A3N87BX6PS0SIB, F, English, 6, 35, 7, electric kettle, 10000, 10000, round, 500, 500, round, -0.189034988002, 5, Ivan, 
A3N87BX6PS0SIB, F, English, 6, 35, 9, electric kettle, 10000, 10000, round, 5000, 5000, round, -0.614363711007, 6, Bob, 
A3N87BX6PS0SIB, F, English, 6, 35, 6, electric kettle, 10000, 10000, round, 50, 50, round, -0.614363711007, 7, Harry, 
A3N87BX6PS0SIB, F, English, 6, 35, 3, electric kettle, 1000, 1000, round, 1000, 1000, round, 1.93760862702, 8, David, 
A3N87BX6PS0SIB, F, English, 6, 35, 8, electric kettle, 10000, 10000, round, 1000, 1000, round, -0.614363711007, 9, George, 
A1EGJ0KJG2QFB4, M, English, 8, 35, 5, electric kettle, 10000, 10000, round, 10000, 10000, round, 0.571463076943, 1, George, 
A1EGJ0KJG2QFB4, M, English, 8, 35, 1, electric kettle, 50, 50, round, 50, 50, round, -1.40667834324, 2, Alex, 
A1EGJ0KJG2QFB4, M, English, 8, 35, 2, electric kettle, 500, 500, round, 500, 500, round, 0.439586982264, 3, Ivan, 
A1EGJ0KJG2QFB4, M, English, 8, 35, 3, electric kettle, 1000, 1000, round, 1000, 1000, round, 0.505525029603, 4, Calvin, 
A1EGJ0KJG2QFB4, M, English, 8, 35, 9, electric kettle, 10000, 10000, round, 5000, 5000, round, 0.505525029603, 5, Bob, 
A1EGJ0KJG2QFB4, M, English, 8, 35, 7, electric kettle, 10000, 10000, round, 500, 500, round, 0.505525029603, 6, Harry, 
